epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18031.8,0.64927,1.36367,1.04967,0.83637,0.14286,0.14798,0.11463,1.14769,2.74134,0.91863,0.000990365,0.000990365,0.000990365
43,18163.8,0.6762,1.39474,1.06128,0.9628,0.69663,0.71605,0.50405,1.05768,2.39474,0.84132,0.000973861,0.000973861,0.000973861
44,18262,0.67069,1.39436,1.07218,0.85419,0.92857,0.92329,0.68604,0.99073,2.28769,0.76364,0.000957358,0.000957358,0.000957358
45,18330.7,0.70826,1.4284,1.01358,0.72767,1,0.81861,0.60158,0.99073,2.28769,0.76364,0.000940855,0.000940855,0.000940855
46,18425.9,0.66354,1.33836,1.06863,0.81111,0.71429,0.681,0.4868,1.02036,2.25746,0.7975,0.000924352,0.000924352,0.000924352
47,18543,0.65979,1.28961,1.01482,0.75614,0.70766,0.68978,0.49062,0.99198,2.29417,0.83311,0.000907848,0.000907848,0.000907848
48,18623.8,0.7343,1.37069,1.01932,0.9675,0.99117,0.995,0.72102,0.96581,2.21869,0.79024,0.000891345,0.000891345,0.000891345
49,20679.2,0.63757,1.22007,1.02952,0.84872,0.99317,0.92375,0.67154,0.96581,2.21869,0.79024,0.000874842,0.000874842,0.000874842
50,21708.8,0.64771,1.24121,0.99087,0.93128,0.71429,0.71627,0.48979,1.00541,2.19217,0.8015,0.000858338,0.000858338,0.000858338
51,21819.3,0.65,1.30107,1.01831,0.94029,0.57143,0.57707,0.38956,0.93904,2.07366,0.82444,0.000841835,0.000841835,0.000841835
52,23839.5,0.63834,1.1944,1.01809,0.89293,0.57143,0.5771,0.38567,0.96476,2.07327,0.84339,0.000825332,0.000825332,0.000825332
53,25705.8,0.54026,1.11945,1.0135,0.88323,1,0.95938,0.65486,0.96476,2.07327,0.84339,0.000808828,0.000808828,0.000808828
54,27772.2,0.64355,1.20264,1.01104,0.8062,0.42857,0.41176,0.27275,0.9711,2.09061,0.85646,0.000792325,0.000792325,0.000792325
55,30596.6,0.57926,1.13739,1.02233,0.92304,0.42857,0.42778,0.29276,0.97267,2.00737,0.81066,0.000775822,0.000775822,0.000775822
56,30730.1,0.62578,1.19758,1.05281,0.83771,0.57143,0.56206,0.37826,0.99217,2.01949,0.79019,0.000759318,0.000759318,0.000759318
57,30886.2,0.60055,1.14447,1.02359,0.84488,0.90416,0.89736,0.61268,0.99217,2.01949,0.79019,0.000742815,0.000742815,0.000742815
58,31045.1,0.5988,1.11288,1.01462,0.87254,0.70062,0.70488,0.49246,1.00004,1.98431,0.78482,0.000726312,0.000726312,0.000726312
59,31196.8,0.63013,1.20493,1.01419,0.90616,0.42857,0.4278,0.29741,0.95564,1.94565,0.78358,0.000709809,0.000709809,0.000709809
60,31324.8,0.55623,1.06528,1.01795,0.94213,0.71429,0.71632,0.50665,0.95467,1.91726,0.80733,0.000693305,0.000693305,0.000693305
61,31415.2,0.53438,0.98346,0.98555,0.90061,1,0.93281,0.65852,0.95467,1.91726,0.80733,0.000676802,0.000676802,0.000676802
62,31535,0.6959,1.22767,1.06167,0.93195,0.57143,0.57701,0.39138,0.96407,1.91984,0.82994,0.000660299,0.000660299,0.000660299
63,31651.3,0.57412,1.05299,1.00656,0.92493,0.57143,0.57697,0.38367,0.9991,1.93089,0.8793,0.000643795,0.000643795,0.000643795
