epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,871.855,0.57827,1.27991,1.00096,0.96203,1,0.995,0.70827,0.99066,1.92584,0.85115,0.000676802,0.000676802,0.000676802
44,886.418,0.63101,1.32188,1.06612,0.90288,0.5,0.49692,0.3345,0.99881,1.9318,0.91238,0.000653226,0.000653226,0.000653226
45,910.983,0.6172,1.33384,1.01264,0.96114,1,0.995,0.7007,0.99881,1.9318,0.91238,0.00062965,0.00062965,0.00062965
46,925.858,0.58962,1.2567,1.02276,0.90756,1,0.98111,0.72295,0.91633,1.87007,0.86621,0.000606074,0.000606074,0.000606074
47,939.051,0.59514,1.23743,0.99693,0.95502,1,0.995,0.73332,0.8612,1.82623,0.84215,0.000582497,0.000582497,0.000582497
48,955.526,0.63325,1.30489,0.97785,0.89642,1,0.96722,0.71704,0.85457,1.80579,0.83722,0.000558921,0.000558921,0.000558921
49,968.566,0.5698,1.17044,1.02377,0.89642,1,0.96722,0.71704,0.85457,1.80579,0.83722,0.000535345,0.000535345,0.000535345
50,982.101,0.59288,1.17793,0.98094,0.87025,1,0.94717,0.70811,0.86756,1.78693,0.86791,0.000511769,0.000511769,0.000511769
51,997.578,0.57441,1.23372,0.98537,0.85559,1,0.94357,0.71343,0.89609,1.75952,0.86432,0.000488193,0.000488193,0.000488193
52,1014.17,0.57864,1.10333,1.02151,0.90497,1,0.96722,0.7364,0.90411,1.76829,0.87507,0.000464617,0.000464617,0.000464617
53,1026.45,0.48603,1.04398,1.00021,0.90497,1,0.96722,0.7364,0.90411,1.76829,0.87507,0.000441041,0.000441041,0.000441041
54,1039.6,0.54884,1.11031,1.01415,0.91357,1,0.96722,0.72094,0.92339,1.7762,0.8968,0.000417464,0.000417464,0.000417464
55,1057.56,0.48688,1.07106,1.01032,0.9198,1,0.96722,0.7328,0.89896,1.73064,0.86128,0.000393888,0.000393888,0.000393888
56,1074.72,0.52264,1.13067,1.00889,0.87373,1,0.96737,0.74523,0.90354,1.67986,0.84766,0.000370312,0.000370312,0.000370312
57,1085.49,0.50664,1.0682,1.00655,0.87373,1,0.96737,0.74523,0.90354,1.67986,0.84766,0.000346736,0.000346736,0.000346736
58,1100.37,0.51841,1.0359,0.98428,0.94638,1,0.995,0.75404,0.90622,1.6533,0.82412,0.00032316,0.00032316,0.00032316
59,1122.61,0.53512,1.14496,0.99645,0.96736,1,0.995,0.75118,0.88784,1.66885,0.81241,0.000299584,0.000299584,0.000299584
60,1143.74,0.49072,1.03728,0.97831,0.96775,1,0.995,0.75861,0.88388,1.6525,0.81465,0.000276008,0.000276008,0.000276008
61,1156.41,0.76089,1.98088,0.88267,0.96775,1,0.995,0.75861,0.88388,1.6525,0.81465,0.000252431,0.000252431,0.000252431
62,1169.2,0.73491,1.92737,0.8459,0.95951,1,0.995,0.75459,0.86863,1.64402,0.82072,0.000228855,0.000228855,0.000228855
63,1181.91,0.77436,1.9547,0.78198,0.95204,1,0.995,0.7534,0.81811,1.68107,0.83101,0.000205279,0.000205279,0.000205279
64,1202.31,0.80249,1.97781,0.80568,0.95415,0.875,0.87544,0.67498,0.79269,1.70877,0.83506,0.000181703,0.000181703,0.000181703
65,1217.7,0.72754,1.9822,0.83108,0.96186,1,0.995,0.7545,0.79269,1.70877,0.83506,0.000158127,0.000158127,0.000158127
66,1231.26,0.64356,1.94276,0.82966,0.92757,0.625,0.62633,0.4759,0.78159,1.69358,0.83001,0.000134551,0.000134551,0.000134551
67,1243.73,0.69691,1.9656,0.80847,0.96021,1,0.995,0.74548,0.78545,1.64656,0.82623,0.000110975,0.000110975,0.000110975
68,1260.16,0.68259,1.91673,0.82816,0.96135,1,0.995,0.74548,0.7928,1.60874,0.82409,8.73984e-05,8.73984e-05,8.73984e-05
69,1271.24,0.80321,1.96301,0.791,0.96135,1,0.995,0.74548,0.7928,1.60874,0.82409,6.38223e-05,6.38223e-05,6.38223e-05
70,1283.97,0.68896,1.89073,0.77874,0.96063,1,0.995,0.74378,0.79787,1.59925,0.82347,4.02461e-05,4.02461e-05,4.02461e-05
